yourlist:M20191118DA437993067D6F64326E5E763500BDED055040M	isomap:M20191118DA437993067D6F64326E5E763500BDED055040M	Entry	Entry name	Protein names	Gene ontology IDs	Gene ontology (GO)	Gene names
NM_006486	NM_006486 -> P23142-1	P23142	FBLN1_HUMAN	Fibulin-1 (FIBL-1)	GO:0001933; GO:0001968; GO:0005178; GO:0005201; GO:0005509; GO:0005576; GO:0005604; GO:0005615; GO:0007162; GO:0007566; GO:0008022; GO:0010628; GO:0016032; GO:0016504; GO:0030198; GO:0031012; GO:0042802; GO:0044877; GO:0048146; GO:0062023; GO:0070051; GO:0070062; GO:0070373; GO:0071953; GO:0072378; GO:1900025; GO:1904188; GO:1904237; GO:2000146; GO:2000647; GO:2001202	basement membrane [GO:0005604]; collagen-containing extracellular matrix [GO:0062023]; elastic fiber [GO:0071953]; extracellular exosome [GO:0070062]; extracellular matrix [GO:0031012]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; calcium ion binding [GO:0005509]; extracellular matrix structural constituent [GO:0005201]; fibrinogen binding [GO:0070051]; fibronectin binding [GO:0001968]; identical protein binding [GO:0042802]; integrin binding [GO:0005178]; peptidase activator activity [GO:0016504]; protein C-terminus binding [GO:0008022]; protein-containing complex binding [GO:0044877]; blood coagulation, fibrin clot formation [GO:0072378]; embryo implantation [GO:0007566]; extracellular matrix organization [GO:0030198]; negative regulation of cell adhesion [GO:0007162]; negative regulation of cell motility [GO:2000146]; negative regulation of ERK1 and ERK2 cascade [GO:0070373]; negative regulation of protein phosphorylation [GO:0001933]; negative regulation of stem cell proliferation [GO:2000647]; negative regulation of substrate adhesion-dependent cell spreading [GO:1900025]; negative regulation of transformation of host cell by virus [GO:1904188]; negative regulation of transforming growth factor-beta secretion [GO:2001202]; positive regulation of fibroblast proliferation [GO:0048146]; positive regulation of gene expression [GO:0010628]; positive regulation of substrate-dependent cell migration, cell attachment to substrate [GO:1904237]; viral process [GO:0016032]	FBLN1 PP213
NM_006486		Q8NBH6	Q8NBH6_HUMAN	Fibulin-1	GO:0005178; GO:0005509; GO:0005576; GO:0016504; GO:0030198	extracellular region [GO:0005576]; calcium ion binding [GO:0005509]; integrin binding [GO:0005178]; peptidase activator activity [GO:0016504]; extracellular matrix organization [GO:0030198]	
NM_001130963	NM_001130963 -> O14524-1	O14524	NEMP1_HUMAN	Nuclear envelope integral membrane protein 1	GO:0005635; GO:0005637; GO:0016021	integral component of membrane [GO:0016021]; nuclear envelope [GO:0005635]; nuclear inner membrane [GO:0005637]	NEMP1 KIAA0286 TMEM194 TMEM194A
NM_006681		A0A250SH36	A0A250SH36_HUMAN	Neuromedin U, isoform CRA_b (Neuromedin U-related peptide/neuromedin U preproprotein)	GO:0001659; GO:0001696; GO:0005623; GO:0007204; GO:0007218; GO:0009648; GO:0010460; GO:0019233; GO:0031652; GO:0042755; GO:0042922; GO:0043195; GO:0044497; GO:0045187; GO:0050806; GO:0060455; GO:0097009; GO:0120061; GO:0120069; GO:1902722; GO:1903999; GO:1904058; GO:2000821	cell [GO:0005623]; terminal bouton [GO:0043195]; neuromedin U receptor binding [GO:0042922]; eating behavior [GO:0042755]; energy homeostasis [GO:0097009]; gastric acid secretion [GO:0001696]; negative regulation of eating behavior [GO:1903999]; negative regulation of gastric acid secretion [GO:0060455]; negative regulation of gastric emptying [GO:0120061]; neuropeptide signaling pathway [GO:0007218]; photoperiodism [GO:0009648]; positive regulation of blood pressure in other organism [GO:0044497]; positive regulation of cytosolic calcium ion concentration [GO:0007204]; positive regulation of heart rate [GO:0010460]; positive regulation of heat generation [GO:0031652]; positive regulation of prolactin secretion [GO:1902722]; positive regulation of sensory perception of pain [GO:1904058]; positive regulation of stomach fundus smooth muscle contraction [GO:0120069]; positive regulation of synaptic transmission [GO:0050806]; regulation of circadian sleep/wake cycle, sleep [GO:0045187]; regulation of grooming behavior [GO:2000821]; sensory perception of pain [GO:0019233]; temperature homeostasis [GO:0001659]	NMU hCG_20599
NM_006681		P48645	NMU_HUMAN	Neuromedin-U [Cleaved into: Neuromedin precursor-related peptide 36 (NURP36); Neuromedin precursor-related peptide 33 (NURP33); Neuromedin-U-25 (NmU-25)]	GO:0001659; GO:0001696; GO:0005102; GO:0005576; GO:0005623; GO:0007186; GO:0007204; GO:0007218; GO:0009648; GO:0010460; GO:0019233; GO:0031652; GO:0031839; GO:0031840; GO:0042755; GO:0042922; GO:0043195; GO:0044497; GO:0045187; GO:0045987; GO:0050806; GO:0060455; GO:0097009; GO:0120061; GO:0120069; GO:1902722; GO:1903999; GO:1904058; GO:2000821	cell [GO:0005623]; extracellular region [GO:0005576]; terminal bouton [GO:0043195]; neuromedin U receptor binding [GO:0042922]; signaling receptor binding [GO:0005102]; type 1 neuromedin U receptor binding [GO:0031839]; type 2 neuromedin U receptor binding [GO:0031840]; eating behavior [GO:0042755]; energy homeostasis [GO:0097009]; G protein-coupled receptor signaling pathway [GO:0007186]; gastric acid secretion [GO:0001696]; negative regulation of eating behavior [GO:1903999]; negative regulation of gastric acid secretion [GO:0060455]; negative regulation of gastric emptying [GO:0120061]; neuropeptide signaling pathway [GO:0007218]; photoperiodism [GO:0009648]; positive regulation of blood pressure in other organism [GO:0044497]; positive regulation of cytosolic calcium ion concentration [GO:0007204]; positive regulation of heart rate [GO:0010460]; positive regulation of heat generation [GO:0031652]; positive regulation of prolactin secretion [GO:1902722]; positive regulation of sensory perception of pain [GO:1904058]; positive regulation of smooth muscle contraction [GO:0045987]; positive regulation of stomach fundus smooth muscle contraction [GO:0120069]; positive regulation of synaptic transmission [GO:0050806]; regulation of circadian sleep/wake cycle, sleep [GO:0045187]; regulation of grooming behavior [GO:2000821]; sensory perception of pain [GO:0019233]; temperature homeostasis [GO:0001659]	NMU
NM_018154		A0A024R7G4	A0A024R7G4_HUMAN	ASF1 anti-silencing function 1 homolog B (S. cerevisiae), isoform CRA_a	GO:0000785; GO:0001835; GO:0005654; GO:0006334; GO:0042393	chromatin [GO:0000785]; nucleoplasm [GO:0005654]; histone binding [GO:0042393]; blastocyst hatching [GO:0001835]; nucleosome assembly [GO:0006334]	ASF1B hCG_27531
NM_018154		Q9NVP2	ASF1B_HUMAN	Histone chaperone ASF1B (Anti-silencing function protein 1 homolog B) (hAsf1) (hAsf1b) (CCG1-interacting factor A-II) (CIA-II) (hCIA-II)	GO:0000790; GO:0001835; GO:0005654; GO:0006335; GO:0006336; GO:0007283; GO:0030154; GO:0032991; GO:0042393	nuclear chromatin [GO:0000790]; nucleoplasm [GO:0005654]; protein-containing complex [GO:0032991]; histone binding [GO:0042393]; blastocyst hatching [GO:0001835]; cell differentiation [GO:0030154]; DNA replication-dependent nucleosome assembly [GO:0006335]; DNA replication-independent nucleosome assembly [GO:0006336]; spermatogenesis [GO:0007283]	ASF1B
NM_001130064	NM_001130064 -> P17677-2	P17677	NEUM_HUMAN	Neuromodulin (Axonal membrane protein GAP-43) (Growth-associated protein 43) (Neural phosphoprotein B-50) (pp46)	GO:0001786; GO:0005516; GO:0005737; GO:0005886; GO:0007205; GO:0007399; GO:0009611; GO:0010001; GO:0014069; GO:0016198; GO:0030054; GO:0030425; GO:0031103; GO:0031527; GO:0032584; GO:0035727; GO:0040008; GO:0042246; GO:0043204; GO:0045165; GO:0051489; GO:0098982; GO:0099150; GO:1901981	cell junction [GO:0030054]; cytoplasm [GO:0005737]; dendrite [GO:0030425]; filopodium membrane [GO:0031527]; GABA-ergic synapse [GO:0098982]; growth cone membrane [GO:0032584]; perikaryon [GO:0043204]; plasma membrane [GO:0005886]; postsynaptic density [GO:0014069]; calmodulin binding [GO:0005516]; lysophosphatidic acid binding [GO:0035727]; phosphatidylinositol phosphate binding [GO:1901981]; phosphatidylserine binding [GO:0001786]; axon choice point recognition [GO:0016198]; axon regeneration [GO:0031103]; cell fate commitment [GO:0045165]; glial cell differentiation [GO:0010001]; nervous system development [GO:0007399]; protein kinase C-activating G protein-coupled receptor signaling pathway [GO:0007205]; regulation of filopodium assembly [GO:0051489]; regulation of growth [GO:0040008]; regulation of postsynaptic specialization assembly [GO:0099150]; response to wounding [GO:0009611]; tissue regeneration [GO:0042246]	GAP43
NM_003619		P56730	NETR_HUMAN	Neurotrypsin (EC 3.4.21.-) (Leydin) (Motopsin) (Serine protease 12)	GO:0004252; GO:0005044; GO:0005886; GO:0006887; GO:0008236; GO:0030424; GO:0030425; GO:0031410; GO:0031638; GO:0043083; GO:0043195	axon [GO:0030424]; cytoplasmic vesicle [GO:0031410]; dendrite [GO:0030425]; plasma membrane [GO:0005886]; synaptic cleft [GO:0043083]; terminal bouton [GO:0043195]; scavenger receptor activity [GO:0005044]; serine-type endopeptidase activity [GO:0004252]; serine-type peptidase activity [GO:0008236]; exocytosis [GO:0006887]; zymogen activation [GO:0031638]	PRSS12
NM_003619		Q96I80	Q96I80_HUMAN	PRSS12 protein	GO:0005044; GO:0016020	membrane [GO:0016020]; scavenger receptor activity [GO:0005044]	
NM_003149		Q8WUK8	Q8WUK8_HUMAN	SH3 and cysteine rich domain	GO:0035556; GO:0046872	metal ion binding [GO:0046872]; intracellular signal transduction [GO:0035556]	STAC
NM_003149		Q99469	STAC_HUMAN	SH3 and cysteine-rich domain-containing protein (Src homology 3 and cysteine-rich domain-containing protein)	GO:0003009; GO:0005829; GO:0007165; GO:0030315; GO:0031234; GO:0034605; GO:0035556; GO:0044325; GO:0046872; GO:1901387; GO:1903078; GO:2001259	cytosol [GO:0005829]; extrinsic component of cytoplasmic side of plasma membrane [GO:0031234]; T-tubule [GO:0030315]; ion channel binding [GO:0044325]; metal ion binding [GO:0046872]; cellular response to heat [GO:0034605]; intracellular signal transduction [GO:0035556]; positive regulation of cation channel activity [GO:2001259]; positive regulation of protein localization to plasma membrane [GO:1903078]; positive regulation of voltage-gated calcium channel activity [GO:1901387]; signal transduction [GO:0007165]; skeletal muscle contraction [GO:0003009]	STAC STAC1
NM_001080539	NM_001080539 -> Q8NCX0-1	Q8NCX0	CC150_HUMAN	Coiled-coil domain-containing protein 150			CCDC150
NM_015653		Q9H4K1	RIBC2_HUMAN	RIB43A-like with coiled-coils protein 2	GO:0005634	nucleus [GO:0005634]	RIBC2 C22orf11
NM_201280	NM_201280 -> Q8TDH9-1	Q8TDH9	BL1S5_HUMAN	Biogenesis of lysosome-related organelles complex 1 subunit 5 (BLOC-1 subunit 5) (Protein Muted homolog)	GO:0005623; GO:0008089; GO:0030133; GO:0031083; GO:0031175; GO:0032402; GO:0032438; GO:0035646; GO:0048490; GO:0050942; GO:1904115	axon cytoplasm [GO:1904115]; BLOC-1 complex [GO:0031083]; cell [GO:0005623]; transport vesicle [GO:0030133]; anterograde axonal transport [GO:0008089]; anterograde synaptic vesicle transport [GO:0048490]; endosome to melanosome transport [GO:0035646]; melanosome organization [GO:0032438]; melanosome transport [GO:0032402]; neuron projection development [GO:0031175]; positive regulation of pigment cell differentiation [GO:0050942]	BLOC1S5 MUTED
NM_002285	NM_002285 -> P51826-1	P51826	AFF3_HUMAN	AF4/FMR2 family member 3 (Lymphoid nuclear protein related to AF4) (Protein LAF-4)	GO:0003690; GO:0003700; GO:0005634; GO:0005654; GO:0005829; GO:0008023; GO:0016604; GO:0032783; GO:0034612; GO:0035116	cytosol [GO:0005829]; ELL-EAF complex [GO:0032783]; nuclear body [GO:0016604]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; transcription elongation factor complex [GO:0008023]; DNA-binding transcription factor activity [GO:0003700]; double-stranded DNA binding [GO:0003690]; embryonic hindlimb morphogenesis [GO:0035116]; response to tumor necrosis factor [GO:0034612]	AFF3 LAF4
NM_000790		A0A0S2Z3N4	A0A0S2Z3N4_HUMAN	Dopa decarboxylase isoform 1 (Fragment)	GO:0004058; GO:0006520; GO:0007623; GO:0008021; GO:0010259; GO:0015842; GO:0016597; GO:0019904; GO:0030170; GO:0030424; GO:0033076; GO:0035690; GO:0042416; GO:0042427; GO:0043025; GO:0046684; GO:0052314; GO:0071312; GO:0071363	axon [GO:0030424]; neuronal cell body [GO:0043025]; synaptic vesicle [GO:0008021]; amino acid binding [GO:0016597]; aromatic-L-amino-acid decarboxylase activity [GO:0004058]; protein domain specific binding [GO:0019904]; pyridoxal phosphate binding [GO:0030170]; aminergic neurotransmitter loading into synaptic vesicle [GO:0015842]; cellular amino acid metabolic process [GO:0006520]; cellular response to alkaloid [GO:0071312]; cellular response to drug [GO:0035690]; cellular response to growth factor stimulus [GO:0071363]; circadian rhythm [GO:0007623]; dopamine biosynthetic process [GO:0042416]; isoquinoline alkaloid metabolic process [GO:0033076]; multicellular organism aging [GO:0010259]; phytoalexin metabolic process [GO:0052314]; response to pyrethroid [GO:0046684]; serotonin biosynthetic process [GO:0042427]	DDC
NM_000790	NM_000790 -> P20711-1	P20711	DDC_HUMAN	Aromatic-L-amino-acid decarboxylase (AADC) (EC 4.1.1.28) (DOPA decarboxylase) (DDC)	GO:0004058; GO:0005829; GO:0006520; GO:0007623; GO:0008021; GO:0010259; GO:0015842; GO:0016597; GO:0019899; GO:0019904; GO:0030170; GO:0030424; GO:0033076; GO:0035690; GO:0036468; GO:0042416; GO:0042423; GO:0042427; GO:0043025; GO:0046219; GO:0046684; GO:0052314; GO:0070062; GO:0071312; GO:0071363	axon [GO:0030424]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; neuronal cell body [GO:0043025]; synaptic vesicle [GO:0008021]; amino acid binding [GO:0016597]; aromatic-L-amino-acid decarboxylase activity [GO:0004058]; enzyme binding [GO:0019899]; L-dopa decarboxylase activity [GO:0036468]; protein domain specific binding [GO:0019904]; pyridoxal phosphate binding [GO:0030170]; aminergic neurotransmitter loading into synaptic vesicle [GO:0015842]; catecholamine biosynthetic process [GO:0042423]; cellular amino acid metabolic process [GO:0006520]; cellular response to alkaloid [GO:0071312]; cellular response to drug [GO:0035690]; cellular response to growth factor stimulus [GO:0071363]; circadian rhythm [GO:0007623]; dopamine biosynthetic process [GO:0042416]; indolalkylamine biosynthetic process [GO:0046219]; isoquinoline alkaloid metabolic process [GO:0033076]; multicellular organism aging [GO:0010259]; phytoalexin metabolic process [GO:0052314]; response to pyrethroid [GO:0046684]; serotonin biosynthetic process [GO:0042427]	DDC AADC
NM_000790		Q53Y41	Q53Y41_HUMAN	Dopa decarboxylase (Aromatic L-amino acid decarboxylase) (Dopa decarboxylase (Aromatic L-amino acid decarboxylase), isoform CRA_a)	GO:0006520; GO:0016831; GO:0030170	carboxy-lyase activity [GO:0016831]; pyridoxal phosphate binding [GO:0030170]; cellular amino acid metabolic process [GO:0006520]	DDC hCG_1811384 tcag7.584
NM_005164		Q9UBJ2	ABCD2_HUMAN	ATP-binding cassette sub-family D member 2 (Adrenoleukodystrophy-like 1) (Adrenoleukodystrophy-related protein) (hALDR)	GO:0000038; GO:0005524; GO:0005777; GO:0005778; GO:0005829; GO:0006635; GO:0016021; GO:0016887; GO:0032000; GO:0042626; GO:0042760; GO:0042803; GO:0043217; GO:0055085; GO:1900016; GO:1903427; GO:1990535; GO:2001280	cytosol [GO:0005829]; integral component of membrane [GO:0016021]; peroxisomal membrane [GO:0005778]; peroxisome [GO:0005777]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; ATPase-coupled transmembrane transporter activity [GO:0042626]; protein homodimerization activity [GO:0042803]; fatty acid beta-oxidation [GO:0006635]; myelin maintenance [GO:0043217]; negative regulation of cytokine production involved in inflammatory response [GO:1900016]; negative regulation of reactive oxygen species biosynthetic process [GO:1903427]; neuron projection maintenance [GO:1990535]; positive regulation of fatty acid beta-oxidation [GO:0032000]; positive regulation of unsaturated fatty acid biosynthetic process [GO:2001280]; transmembrane transport [GO:0055085]; very long-chain fatty acid catabolic process [GO:0042760]; very long-chain fatty acid metabolic process [GO:0000038]	ABCD2 ALD1 ALDL1 ALDR ALDRP
NM_014344		Q86VR8	FJX1_HUMAN	Four-jointed box protein 1 (Four-jointed protein homolog)	GO:0005615; GO:0007267; GO:0010842	extracellular space [GO:0005615]; cell-cell signaling [GO:0007267]; retina layer formation [GO:0010842]	FJX1
NM_022451		Q8WTT2	NOC3L_HUMAN	Nucleolar complex protein 3 homolog (NOC3 protein homolog) (Factor for adipocyte differentiation 24) (NOC3-like protein) (Nucleolar complex-associated protein 3-like protein)	GO:0003682; GO:0003723; GO:0005634; GO:0005654; GO:0005730; GO:0005739; GO:0016607; GO:0045444	mitochondrion [GO:0005739]; nuclear speck [GO:0016607]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; chromatin binding [GO:0003682]; RNA binding [GO:0003723]; fat cell differentiation [GO:0045444]	NOC3L AD24 C10orf117 FAD24
NM_178229		Q86VI3	IQGA3_HUMAN	Ras GTPase-activating-like protein IQGAP3	GO:0000082; GO:0000187; GO:0005516; GO:0005829; GO:0005911; GO:0007265; GO:0008361; GO:0010628; GO:0010629; GO:0016328; GO:0017048; GO:0033601; GO:0043087; GO:0070371; GO:0070856; GO:0071310	cell-cell junction [GO:0005911]; cytosol [GO:0005829]; lateral plasma membrane [GO:0016328]; calmodulin binding [GO:0005516]; myosin VI light chain binding [GO:0070856]; Rho GTPase binding [GO:0017048]; activation of MAPK activity [GO:0000187]; cellular response to organic substance [GO:0071310]; ERK1 and ERK2 cascade [GO:0070371]; G1/S transition of mitotic cell cycle [GO:0000082]; negative regulation of gene expression [GO:0010629]; positive regulation of gene expression [GO:0010628]; positive regulation of mammary gland epithelial cell proliferation [GO:0033601]; Ras protein signal transduction [GO:0007265]; regulation of cell size [GO:0008361]; regulation of GTPase activity [GO:0043087]	IQGAP3
NM_003104	NM_003104 -> Q00796-1	Q00796	DHSO_HUMAN	Sorbitol dehydrogenase (SDH) (EC 1.1.1.-) ((R,R)-butanediol dehydrogenase) (EC 1.1.1.4) (L-iditol 2-dehydrogenase) (EC 1.1.1.14) (Polyol dehydrogenase) (Ribitol dehydrogenase) (RDH) (EC 1.1.1.56) (Xylitol dehydrogenase) (XDH) (EC 1.1.1.9)	GO:0000721; GO:0003939; GO:0005615; GO:0005829; GO:0006006; GO:0006062; GO:0006970; GO:0008270; GO:0009725; GO:0016020; GO:0019640; GO:0030246; GO:0030317; GO:0031514; GO:0031667; GO:0031966; GO:0042493; GO:0042802; GO:0046370; GO:0046526; GO:0046686; GO:0046688; GO:0050255; GO:0051160; GO:0051164; GO:0051287; GO:0070062	cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular space [GO:0005615]; membrane [GO:0016020]; mitochondrial membrane [GO:0031966]; motile cilium [GO:0031514]; (R,R)-butanediol dehydrogenase activity [GO:0000721]; carbohydrate binding [GO:0030246]; D-xylulose reductase activity [GO:0046526]; identical protein binding [GO:0042802]; L-iditol 2-dehydrogenase activity [GO:0003939]; NAD binding [GO:0051287]; ribitol 2-dehydrogenase activity [GO:0050255]; zinc ion binding [GO:0008270]; flagellated sperm motility [GO:0030317]; fructose biosynthetic process [GO:0046370]; glucose metabolic process [GO:0006006]; glucuronate catabolic process to xylulose 5-phosphate [GO:0019640]; L-xylitol catabolic process [GO:0051160]; L-xylitol metabolic process [GO:0051164]; response to cadmium ion [GO:0046686]; response to copper ion [GO:0046688]; response to drug [GO:0042493]; response to hormone [GO:0009725]; response to nutrient levels [GO:0031667]; response to osmotic stress [GO:0006970]; sorbitol catabolic process [GO:0006062]	SORD
