Entry	Entry name	Protein names	Gene ontology IDs	Gene ontology (GO)	Gene names
B5XCH5	B5XCH5_SALSA	Avidin-related protein 3	GO:0009374	biotin binding [GO:0009374]	AVR3 avr3
A0A1S3LRK0	A0A1S3LRK0_SALSA	short transient receptor potential channel 7-like	GO:0005262; GO:0016021	integral component of membrane [GO:0016021]; calcium channel activity [GO:0005262]	LOC106568097
A0A1S3LRM2	A0A1S3LRM2_SALSA	complement C1q-like protein 2			LOC106568124
A0A1S3LSV3	A0A1S3LSV3_SALSA	beta-3 adrenergic receptor-like	GO:0004930; GO:0016021	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]	LOC106568263
A0A1S3LSR3	A0A1S3LSR3_SALSA	glycerol-3-phosphate acyltransferase 4-like	GO:0016021; GO:0016746	integral component of membrane [GO:0016021]; transferase activity, transferring acyl groups [GO:0016746]	LOC106568233
A0A1S3LSL2	A0A1S3LSL2_SALSA	gamma-glutamyltranspeptidase 1-like	GO:0006751; GO:0016021; GO:0036374	integral component of membrane [GO:0016021]; glutathione hydrolase activity [GO:0036374]; glutathione catabolic process [GO:0006751]	LOC106568230
A0A1S3LS54	A0A1S3LS54_SALSA	protein phosphatase Slingshot homolog 1-like isoform X2	GO:0004725; GO:0008138; GO:0030036	protein tyrosine phosphatase activity [GO:0004725]; protein tyrosine/serine/threonine phosphatase activity [GO:0008138]; actin cytoskeleton organization [GO:0030036]	LOC106568203
A0A1S3LSK5	A0A1S3LSK5_SALSA	protein phosphatase Slingshot homolog 1-like isoform X1	GO:0004725; GO:0008138; GO:0030036	protein tyrosine phosphatase activity [GO:0004725]; protein tyrosine/serine/threonine phosphatase activity [GO:0008138]; actin cytoskeleton organization [GO:0030036]	LOC106568203
A0A1S3LT46	A0A1S3LT46_SALSA	trypsin inhibitor ClTI-1-like			LOC106568325
A0A1S3LT49	A0A1S3LT49_SALSA	complement component C9	GO:0005579; GO:0006955	membrane attack complex [GO:0005579]; immune response [GO:0006955]	c9
A0A1S3LTI0	A0A1S3LTI0_SALSA	C3a anaphylatoxin chemotactic receptor-like	GO:0004876; GO:0004930; GO:0006935; GO:0016021	integral component of membrane [GO:0016021]; complement component C3a receptor activity [GO:0004876]; G protein-coupled receptor activity [GO:0004930]; chemotaxis [GO:0006935]	LOC106568373
A0A1S3LT96	A0A1S3LT96_SALSA	uncharacterized protein LOC106568413			LOC106568413
A0A1S3LTM2	A0A1S3LTM2_SALSA	uncharacterized protein LOC106568414	GO:0016021	integral component of membrane [GO:0016021]	LOC106568414
A0A1S3LTA0	A0A1S3LTA0_SALSA	cryptic protein-like			LOC106568419
A0A1S3LTN7	A0A1S3LTN7_SALSA	protein AMBP isoform X2	GO:0004867	serine-type endopeptidase inhibitor activity [GO:0004867]	LOC100136563
A0A1S3LTS1	A0A1S3LTS1_SALSA	protein AMBP isoform X1	GO:0004867	serine-type endopeptidase inhibitor activity [GO:0004867]	LOC100136563
A0A1S3LTX6	A0A1S3LTX6_SALSA	Tubulin alpha chain	GO:0003924; GO:0005200; GO:0005525; GO:0005737; GO:0005874; GO:0007017	cytoplasm [GO:0005737]; microtubule [GO:0005874]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; structural constituent of cytoskeleton [GO:0005200]; microtubule-based process [GO:0007017]	LOC106568505
A0A1S3LU53	A0A1S3LU53_SALSA	Tubulin alpha chain	GO:0003924; GO:0005200; GO:0005525; GO:0005737; GO:0005874; GO:0007017	cytoplasm [GO:0005737]; microtubule [GO:0005874]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; structural constituent of cytoskeleton [GO:0005200]; microtubule-based process [GO:0007017]	LOC106568505
A0A1S3LUZ4	A0A1S3LUZ4_SALSA	dorsalin-1-like	GO:0005576; GO:0008083	extracellular region [GO:0005576]; growth factor activity [GO:0008083]	LOC106568506
A0A1S3LTT7	A0A1S3LTT7_SALSA	macrophage mannose receptor 1-like	GO:0016021; GO:0030246	integral component of membrane [GO:0016021]; carbohydrate binding [GO:0030246]	LOC106568508
A0A1S3LU97	A0A1S3LU97_SALSA	Tubulin alpha chain	GO:0003924; GO:0005200; GO:0005525; GO:0005737; GO:0005874; GO:0007017	cytoplasm [GO:0005737]; microtubule [GO:0005874]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; structural constituent of cytoskeleton [GO:0005200]; microtubule-based process [GO:0007017]	LOC106568511
A0A1S3LTU7	A0A1S3LTU7_SALSA	starch-binding domain-containing protein 1	GO:0016021; GO:2001070	integral component of membrane [GO:0016021]; starch binding [GO:2001070]	stbd1
A0A1S3LUB3	A0A1S3LUB3_SALSA	ankyrin repeat domain-containing protein SOWAHB-like			LOC106568524
A0A1S3LUB7	A0A1S3LUB7_SALSA	Phospholipid-transporting ATPase (EC 7.6.2.1)	GO:0000287; GO:0005524; GO:0015914; GO:0016021; GO:0140326	integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; ATPase-coupled intramembrane lipid transporter activity [GO:0140326]; magnesium ion binding [GO:0000287]; phospholipid transport [GO:0015914]	LOC106568528
A0A1S3LUG0	A0A1S3LUG0_SALSA	brain acid soluble protein 1			basp1
A0A1S3LVP3	A0A1S3LVP3_SALSA	uncharacterized protein LOC106568775			LOC106568775
A0A1S3LVK8	A0A1S3LVK8_SALSA	interleukin-20 receptor subunit beta-like	GO:0016021	integral component of membrane [GO:0016021]	LOC106568648
A0A1S3LUK3	A0A1S3LUK3_SALSA	vitamin K-dependent protein C	GO:0004252; GO:0005509; GO:0005576; GO:0007596	extracellular region [GO:0005576]; calcium ion binding [GO:0005509]; serine-type endopeptidase activity [GO:0004252]; blood coagulation [GO:0007596]	proc
A0A1S3LUV8	A0A1S3LUV8_SALSA	angiopoietin-related protein 3-like			LOC106568719
A0A1S3LVD6	A0A1S3LVD6_SALSA	potassium channel subfamily T member 2-like	GO:0006813; GO:0016021	integral component of membrane [GO:0016021]; potassium ion transport [GO:0006813]	LOC106568737
A0A1S3LV15	A0A1S3LV15_SALSA	ephrin type-B receptor 3-like isoform X1	GO:0005003; GO:0005524; GO:0005887	integral component of plasma membrane [GO:0005887]; ATP binding [GO:0005524]; ephrin receptor activity [GO:0005003]	LOC106568743
A0A1S3LW64	A0A1S3LW64_SALSA	ephrin type-B receptor 3-like isoform X2	GO:0005003; GO:0005524; GO:0016021	integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; ephrin receptor activity [GO:0005003]	LOC106568743
A0A1S3LWX6	A0A1S3LWX6_SALSA	retinol-binding protein 2 isoform X2	GO:0008289	lipid binding [GO:0008289]	rbp2
A0A1S3LX55	A0A1S3LX55_SALSA	retinol-binding protein 2 isoform X1	GO:0008289	lipid binding [GO:0008289]	rbp2
A0A1S3LWF3	A0A1S3LWF3_SALSA	putative ferric-chelate reductase 1	GO:0016021; GO:0055114	integral component of membrane [GO:0016021]; oxidation-reduction process [GO:0055114]	LOC106568904
A0A1S3LW11	A0A1S3LW11_SALSA	uncharacterized protein LOC106568901 isoform X2			LOC106568901
A0A1S3LW55	A0A1S3LW55_SALSA	uncharacterized protein LOC106568901 isoform X1			LOC106568901
A0A1S3LX39	A0A1S3LX39_SALSA	uncharacterized protein LOC106568901 isoform X3			LOC106568901
A0A1S3LWC0	A0A1S3LWC0_SALSA	LIM/homeobox protein Lhx8 isoform X1	GO:0005634; GO:0006355; GO:0043565; GO:0046872	nucleus [GO:0005634]; metal ion binding [GO:0046872]; sequence-specific DNA binding [GO:0043565]; regulation of transcription, DNA-templated [GO:0006355]	lhx8
A0A1S3LWC1	A0A1S3LWC1_SALSA	LIM/homeobox protein Lhx8 isoform X2	GO:0005634; GO:0006355; GO:0043565; GO:0046872	nucleus [GO:0005634]; metal ion binding [GO:0046872]; sequence-specific DNA binding [GO:0043565]; regulation of transcription, DNA-templated [GO:0006355]	lhx8
A0A1S3LVX2	A0A1S3LVX2_SALSA	epidermal retinol dehydrogenase 2-like	GO:0016491	oxidoreductase activity [GO:0016491]	LOC106568881
A0A1S3LVR8	A0A1S3LVR8_SALSA	zona pellucida sperm-binding protein 4-like	GO:0005576	extracellular region [GO:0005576]	LOC106568862
A0A1S3LVR3	A0A1S3LVR3_SALSA	Chloride channel protein	GO:0005247; GO:0016021	integral component of membrane [GO:0016021]; voltage-gated chloride channel activity [GO:0005247]	LOC106568860
A0A1S3LVV4	A0A1S3LVV4_SALSA	Chloride channel protein	GO:0005247; GO:0016021	integral component of membrane [GO:0016021]; voltage-gated chloride channel activity [GO:0005247]	LOC106568860
A0A1S3LVW0	A0A1S3LVW0_SALSA	Chloride channel protein	GO:0005247; GO:0016021	integral component of membrane [GO:0016021]; voltage-gated chloride channel activity [GO:0005247]	LOC106568860
A0A1S3LW49	A0A1S3LW49_SALSA	Chloride channel protein	GO:0005247; GO:0016021	integral component of membrane [GO:0016021]; voltage-gated chloride channel activity [GO:0005247]	LOC106568860
A0A1S3LW53	A0A1S3LW53_SALSA	Chloride channel protein	GO:0005247; GO:0016021	integral component of membrane [GO:0016021]; voltage-gated chloride channel activity [GO:0005247]	LOC106568860
A0A1S3LW56	A0A1S3LW56_SALSA	Chloride channel protein	GO:0005247; GO:0016021	integral component of membrane [GO:0016021]; voltage-gated chloride channel activity [GO:0005247]	LOC106568860
A0A1S3LWV0	A0A1S3LWV0_SALSA	Chloride channel protein	GO:0005247; GO:0016021	integral component of membrane [GO:0016021]; voltage-gated chloride channel activity [GO:0005247]	LOC106568860
A0A1S3QX21	A0A1S3QX21_SALSA	ladderlectin-like isoform X1	GO:0030246	carbohydrate binding [GO:0030246]	LOC106597554 LOC106568836
A0A1S3LWQ5	A0A1S3LWQ5_SALSA	ladderlectin-like isoform X2			LOC106568837 LOC106597604 LOC106598100 LOC106599467
A0A1S3QWH4	A0A1S3QWH4_SALSA	ladderlectin-like isoform X1			LOC106597604 LOC106568837 LOC106598100 LOC106599467
A0A1S3LVR0	A0A1S3LVR0_SALSA	ladderlectin-like isoform X2			LOC106568838
A0A1S3LW03	A0A1S3LW03_SALSA	ladderlectin-like isoform X1			LOC106568838
A0A1S3LYL7	A0A1S3LYL7_SALSA	selenoprotein Pb-like	GO:0008430	selenium binding [GO:0008430]	LOC106569257
A0A1S3LYM3	A0A1S3LYM3_SALSA	uncharacterized protein LOC106569294			LOC106569294
A0A1S3LYH1	A0A1S3LYH1_SALSA	uncharacterized protein LOC106569292			LOC106569292
A0A1S3LYF9	A0A1S3LYF9_SALSA	DNA helicase (EC 3.6.4.12)	GO:0003677; GO:0003678; GO:0005524; GO:0005634; GO:0006270; GO:0042555	MCM complex [GO:0042555]; nucleus [GO:0005634]; ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA helicase activity [GO:0003678]; DNA replication initiation [GO:0006270]	LOC106569286
A0A1S3LYG1	A0A1S3LYG1_SALSA	DNA helicase (EC 3.6.4.12)	GO:0003677; GO:0003678; GO:0005524; GO:0005634; GO:0006270; GO:0042555	MCM complex [GO:0042555]; nucleus [GO:0005634]; ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA helicase activity [GO:0003678]; DNA replication initiation [GO:0006270]	LOC106569286
A0A1S3LY22	A0A1S3LY22_SALSA	potassium voltage-gated channel subfamily H member 6-like	GO:0005249; GO:0016021; GO:0034765	integral component of membrane [GO:0016021]; voltage-gated potassium channel activity [GO:0005249]; regulation of ion transmembrane transport [GO:0034765]	LOC106569206
A0A1S3LXP8	A0A1S3LXP8_SALSA	desmocollin-2-like	GO:0005509; GO:0005886; GO:0007156; GO:0016021	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; calcium ion binding [GO:0005509]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]	LOC106569170
A0A1S3LXN2	A0A1S3LXN2_SALSA	E3 ubiquitin-protein ligase RNF138			rnf138
A0A1S3LXN3	A0A1S3LXN3_SALSA	opsin-5-like isoform X4	GO:0004930; GO:0007601; GO:0009881; GO:0016021; GO:0018298	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]; photoreceptor activity [GO:0009881]; protein-chromophore linkage [GO:0018298]; visual perception [GO:0007601]	LOC106569157
A0A1S3LXT8	A0A1S3LXT8_SALSA	opsin-5-like isoform X1	GO:0004930; GO:0007601; GO:0009881; GO:0016021; GO:0018298	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]; photoreceptor activity [GO:0009881]; protein-chromophore linkage [GO:0018298]; visual perception [GO:0007601]	LOC106569157
A0A1S3LXU1	A0A1S3LXU1_SALSA	opsin-5-like isoform X2 (opsin-5-like isoform X3)	GO:0004930; GO:0007601; GO:0009881; GO:0016021; GO:0018298	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]; photoreceptor activity [GO:0009881]; protein-chromophore linkage [GO:0018298]; visual perception [GO:0007601]	LOC106569157
A0A1S3LXH4	A0A1S3LXH4_SALSA	adhesion G protein-coupled receptor L2-like isoform X1	GO:0004930; GO:0007166; GO:0016021; GO:0030246	integral component of membrane [GO:0016021]; carbohydrate binding [GO:0030246]; G protein-coupled receptor activity [GO:0004930]; cell surface receptor signaling pathway [GO:0007166]	LOC106569141
A0A1S3LXI5	A0A1S3LXI5_SALSA	adhesion G protein-coupled receptor L2-like isoform X5	GO:0004930; GO:0007166; GO:0016021; GO:0030246	integral component of membrane [GO:0016021]; carbohydrate binding [GO:0030246]; G protein-coupled receptor activity [GO:0004930]; cell surface receptor signaling pathway [GO:0007166]	LOC106569141
A0A1S3LXN6	A0A1S3LXN6_SALSA	adhesion G protein-coupled receptor L2-like isoform X3	GO:0004930; GO:0007166; GO:0016021; GO:0030246	integral component of membrane [GO:0016021]; carbohydrate binding [GO:0030246]; G protein-coupled receptor activity [GO:0004930]; cell surface receptor signaling pathway [GO:0007166]	LOC106569141
A0A1S3LXP2	A0A1S3LXP2_SALSA	adhesion G protein-coupled receptor L2-like isoform X7	GO:0004930; GO:0007166; GO:0016021; GO:0030246	integral component of membrane [GO:0016021]; carbohydrate binding [GO:0030246]; G protein-coupled receptor activity [GO:0004930]; cell surface receptor signaling pathway [GO:0007166]	LOC106569141
A0A1S3LXQ2	A0A1S3LXQ2_SALSA	adhesion G protein-coupled receptor L2-like isoform X4	GO:0004930; GO:0007166; GO:0016021; GO:0030246	integral component of membrane [GO:0016021]; carbohydrate binding [GO:0030246]; G protein-coupled receptor activity [GO:0004930]; cell surface receptor signaling pathway [GO:0007166]	LOC106569141
A0A1S3LY73	A0A1S3LY73_SALSA	adhesion G protein-coupled receptor L2-like isoform X2	GO:0004930; GO:0007166; GO:0016021; GO:0030246	integral component of membrane [GO:0016021]; carbohydrate binding [GO:0030246]; G protein-coupled receptor activity [GO:0004930]; cell surface receptor signaling pathway [GO:0007166]	LOC106569141
A0A1S3LY79	A0A1S3LY79_SALSA	adhesion G protein-coupled receptor L2-like isoform X6	GO:0004930; GO:0007166; GO:0016021; GO:0030246	integral component of membrane [GO:0016021]; carbohydrate binding [GO:0030246]; G protein-coupled receptor activity [GO:0004930]; cell surface receptor signaling pathway [GO:0007166]	LOC106569141
A0A1S3LZ38	A0A1S3LZ38_SALSA	Histone H2B	GO:0000786; GO:0003677; GO:0005634; GO:0046982	nucleosome [GO:0000786]; nucleus [GO:0005634]; DNA binding [GO:0003677]; protein heterodimerization activity [GO:0046982]	LOC106569359
A0A1S3LYH9	A0A1S3LYH9_SALSA	cathelicidin antimicrobial peptide isoform X1			LOC100136439 CATH-2
A0A1S3LYI0	A0A1S3LYI0_SALSA	cathelicidin antimicrobial peptide isoform X2			LOC100136439 CATH-2
Q49TU5	Q49TU5_SALSA	Cathelicidin antimicrobial peptide (Cathelicidin-derived antimicrobial peptide 2) (cathelicidin antimicrobial peptide precursor)	GO:0010628; GO:0050829	defense response to Gram-negative bacterium [GO:0050829]; positive regulation of gene expression [GO:0010628]	LOC100136439 CATH-2
A0A1S3LYZ3	A0A1S3LYZ3_SALSA	protein CYR61-like	GO:0005520; GO:0005576	extracellular region [GO:0005576]; insulin-like growth factor binding [GO:0005520]	LOC106569355
A0A1S3LYJ5	A0A1S3LYJ5_SALSA	uncharacterized protein LOC106569300 isoform X3			LOC106569300
A0A1S3LYN8	A0A1S3LYN8_SALSA	uncharacterized protein LOC106569300 isoform X1			LOC106569300
A0A1S3LYS7	A0A1S3LYS7_SALSA	uncharacterized protein LOC106569300 isoform X2			LOC106569300
A0A1S3LZ65	A0A1S3LZ65_SALSA	complement component C8 alpha chain	GO:0005579; GO:0006956	membrane attack complex [GO:0005579]; complement activation [GO:0006956]	c8a
A0A1S3LZ35	A0A1S3LZ35_SALSA	nectin-4-like	GO:0007155; GO:0016021; GO:0046718	integral component of membrane [GO:0016021]; cell adhesion [GO:0007155]; viral entry into host cell [GO:0046718]	LOC106569380
A0A1S3LZ10	A0A1S3LZ10_SALSA	complement C3-like isoform X2	GO:0004866; GO:0005615; GO:0006956	extracellular space [GO:0005615]; endopeptidase inhibitor activity [GO:0004866]; complement activation [GO:0006956]	LOC106569365
A0A1S3LZ12	A0A1S3LZ12_SALSA	complement C3-like isoform X1	GO:0004866; GO:0005615; GO:0006956	extracellular space [GO:0005615]; endopeptidase inhibitor activity [GO:0004866]; complement activation [GO:0006956]	LOC106569365
A0A1S3LZP4	A0A1S3LZP4_SALSA	complement factor B-like	GO:0004252; GO:0005576; GO:0006956	extracellular region [GO:0005576]; serine-type endopeptidase activity [GO:0004252]; complement activation [GO:0006956]	LOC106569366
A0A1S3LZB8	A0A1S3LZB8_SALSA	matrix metalloproteinase-14-like	GO:0004222; GO:0008270; GO:0016021; GO:0031012	extracellular matrix [GO:0031012]; integral component of membrane [GO:0016021]; metalloendopeptidase activity [GO:0004222]; zinc ion binding [GO:0008270]	LOC106569443
A0A1S3LZC9	A0A1S3LZC9_SALSA	zinc-binding protein A33-like			LOC106569442
A0A1S3LZJ4	A0A1S3LZJ4_SALSA	myosin heavy chain, striated muscle-like isoform X1			LOC106569441
A0A1S3LZP8	A0A1S3LZP8_SALSA	myosin heavy chain, striated muscle-like isoform X2			LOC106569441
A0A1S3LZL4	A0A1S3LZL4_SALSA	uncharacterized protein LOC106569433 (uncharacterized protein LOC106569434) (uncharacterized protein LOC106598212)			LOC106569433 LOC106569434 LOC106598212
A0A1S3LZM4	A0A1S3LZM4_SALSA	rap guanine nucleotide exchange factor 4 isoform X2	GO:0005085; GO:0007264	guanyl-nucleotide exchange factor activity [GO:0005085]; small GTPase mediated signal transduction [GO:0007264]	rapgef4
A0A1S3LZM5	A0A1S3LZM5_SALSA	rap guanine nucleotide exchange factor 4 isoform X1	GO:0005085; GO:0007264	guanyl-nucleotide exchange factor activity [GO:0005085]; small GTPase mediated signal transduction [GO:0007264]	rapgef4
A0A1S3LZU5	A0A1S3LZU5_SALSA	rap guanine nucleotide exchange factor 4 isoform X4	GO:0005085; GO:0007264	guanyl-nucleotide exchange factor activity [GO:0005085]; small GTPase mediated signal transduction [GO:0007264]	rapgef4
A0A1S3M007	A0A1S3M007_SALSA	rap guanine nucleotide exchange factor 4 isoform X5	GO:0005085; GO:0007264	guanyl-nucleotide exchange factor activity [GO:0005085]; small GTPase mediated signal transduction [GO:0007264]	rapgef4
A0A1S3M0B8	A0A1S3M0B8_SALSA	rap guanine nucleotide exchange factor 4 isoform X3	GO:0005085; GO:0007264	guanyl-nucleotide exchange factor activity [GO:0005085]; small GTPase mediated signal transduction [GO:0007264]	rapgef4
A0A1S3M003	A0A1S3M003_SALSA	neurabin-1-like			LOC106569500
A0A1S3M0D4	A0A1S3M0D4_SALSA	zona pellucida sperm-binding protein 3-like	GO:0007339; GO:0035803; GO:0035804	structural constituent of egg coat [GO:0035804]; binding of sperm to zona pellucida [GO:0007339]; egg coat formation [GO:0035803]	LOC106569549
A0A1S3M0F7	A0A1S3M0F7_SALSA	translation initiation factor IF-2-like	GO:0003743; GO:0007339; GO:0035803; GO:0035804	structural constituent of egg coat [GO:0035804]; translation initiation factor activity [GO:0003743]; binding of sperm to zona pellucida [GO:0007339]; egg coat formation [GO:0035803]	LOC106569562
A0A1S3M004	A0A1S3M004_SALSA	fibrous sheath CABYR-binding protein-like	GO:0007339; GO:0035803; GO:0035804	structural constituent of egg coat [GO:0035804]; binding of sperm to zona pellucida [GO:0007339]; egg coat formation [GO:0035803]	LOC106569563
A0A1S3M0J6	A0A1S3M0J6_SALSA	C-C motif chemokine 21 isoform X2	GO:0005576; GO:0006955; GO:0008009	extracellular region [GO:0005576]; chemokine activity [GO:0008009]; immune response [GO:0006955]	ccl21
B5XCT7	B5XCT7_SALSA	C-C motif chemokine 21 precursor	GO:0005576; GO:0006955; GO:0008009	extracellular region [GO:0005576]; chemokine activity [GO:0008009]; immune response [GO:0006955]	CCL21 ccl21
